Retailer,SKU,Units,UnitPrice,StartDate,EndDate,SourceFile
Amazon,PPS24Kit,2,,5/20/2024,5/24/2024,2024 All Sheets.xlsx::Amazon
Amazon,EGLAI1,29,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,1,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,2,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,7,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21,11,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD17,4,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZD21,9,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21,5,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZL21B,2,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZRMWF,1,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZTHWF,1,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G+32oz,6,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR1G,24,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMROS1G,1,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,MMR4G,3,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,PPS24Kit,1,,5/27/2024,5/31/2024,2024 All Sheets.xlsx::Amazon
Amazon,EGLAI1,76,,6/3/2024,6/7/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA25,1,,6/3/2024,6/7/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZAA30,1,,6/3/2024,6/7/2024,2024 All Sheets.xlsx::Amazon
Amazon,EZC17,9,,6/3/2024,6/7/2024,2024 All Sheets.xlsx::Amazon
